1004,F4K3BU7K4,41,a
1005,F4K3BU7K5,41,a
1006,F4K3BU7K6,41,a
1007,F4K3BU7K7,41,a
1008,F4K3BU7K8,41,a
1009,F4K3BU7K9,41,a
1010,F4K3BU7K10,41,a
1011,F4K3BU7K11,41,a
1012,F4K3BU7K12,41,a
1013,F4K3BU7K13,41,a
1014,F4K3BU7K14,41,a
1015,F4K3BU7K15,41,a
1016,F4K3BU7K16,41,a
1017,F4K3BU7K17,41,a
1018,F4K3BU7K18,41,a
1019,F4K3BU7K19,41,a
1020,F4K3BU7K20,41,a
1021,F4K3BU7K21,41,a
1022,F4K3BU7K22,41,a
1023,F4K3BU7K23,41,a
1024,F4K3BU7K24,41,a
1025,F4K3BU7K25,41,a
1026,F4K3BU7K26,41,a
1027,F4K3BU7K27,41,a
1028,F4K3BU7K28,41,a
1029,F4K3BU7K29,41,a
1030,F4K3BU7K30,41,a
1031,F4K3BU7K31,41,a
1032,F4K3BU7K32,41,a
1033,F4K3BU7K33,41,a
1034,F4K3BU7K34,41,a
1035,F4K3BU7K35,41,a
1036,F4K3BU7K36,41,a
1037,F4K3BU7K37,41,a
1038,F4K3BU7K38,41,a
1039,F4K3BU7K39,41,a
1060,F4K3BU7K60,41,a
1061,F4K3BU7K61,41,a
1062,F4K3BU7K62,41,a
1063,F4K3BU7K63,41,a
1064,F4K3BU7K64,41,a
1065,F4K3BU7K65,41,a
1066,F4K3BU7K66,41,a
1067,F4K3BU7K67,41,a
1068,F4K3BU7K68,41,a
1069,F4K3BU7K69,41,a
1070,F4K3BU7K70,41,a
1071,F4K3BU7K71,41,a
1072,F4K3BU7K72,41,a
1073,F4K3BU7K73,41,a
1074,F4K3BU7K74,41,a
1075,F4K3BU7K75,41,a
1076,F4K3BU7K76,41,a
1077,F4K3BU7K77,41,a
1078,F4K3BU7K78,41,a
1079,F4K3BU7K79,41,a
1080,F4K3BU7K80,41,a
1081,F4K3BU7K81,41,a
1082,F4K3BU7K82,41,a
1083,F4K3BU7K83,41,a
1084,F4K3BU7K84,41,a
1085,F4K3BU7K85,41,a
1086,F4K3BU7K86,41,a
1087,F4K3BU7K87,41,a
1088,F4K3BU7K88,41,a
1089,F4K3BU7K89,41,a
1090,F4K3BU7K90,41,a
1091,F4K3BU7K91,41,a
1092,F4K3BU7K92,41,a
1093,F4K3BU7K93,41,a
1094,F4K3BU7K94,41,a
1095,F4K3BU7K95,41,a
1096,F4K3BU7K96,41,a
1097,F4K3BU7K97,41,a
1098,F4K3BU7K98,41,a
1099,F4K3BU7K99,41,a
1100,F4K3BU7K100,41,a
1101,F4K3BU7K101,41,a
1102,F4K3BU7K102,41,a
1123,F4K3BU7K123,41,a
1124,F4K3BU7K124,41,a
1125,F4K3BU7K125,41,a
1126,F4K3BU7K126,41,a
1127,F4K3BU7K127,41,a
1128,F4K3BU7K128,41,a
1129,F4K3BU7K129,41,a
1130,F4K3BU7K130,41,a
1131,F4K3BU7K131,41,a
1132,F4K3BU7K132,41,a
1133,F4K3BU7K133,41,a
1134,F4K3BU7K134,41,a
1135,F4K3BU7K135,41,a
1136,F4K3BU7K136,41,a
1137,F4K3BU7K137,41,a
1138,F4K3BU7K138,41,a
1139,F4K3BU7K139,41,a
1140,F4K3BU7K140,41,a
1141,F4K3BU7K141,41,a
1142,F4K3BU7K142,41,a
1143,F4K3BU7K143,41,a
1144,F4K3BU7K144,41,a
1145,F4K3BU7K145,41,a
1146,F4K3BU7K146,41,a
1147,F4K3BU7K147,41,a
1148,F4K3BU7K148,41,a
1149,F4K3BU7K149,41,a
1150,F4K3BU7K150,41,a
1151,F4K3BU7K151,41,a
1152,F4K3BU7K152,41,a
1153,F4K3BU7K153,41,a
1154,F4K3BU7K154,41,a
1155,F4K3BU7K155,41,a
